Metadata:
title: London Average Air Quality Levels
summary: The data shows roadside and background average readings for Nitric Oxide, Nitrogen Dioxide, Oxides of Nitrogen, Ozone, Particulate Matter (PM10 and PM2.5), and Sulphur Dioxide. Measured in Micrograms per Cubic Meter of Air (ug/m3). The spreadsheet shows which Index level each reading falls in, and contains charts showing pollutant levels by time of day per month.



Trend graphs of Nitrogen Dioxide and Particulate Matter PM2.5 are on the London Dashboard.



Link to GLA Air Quality page
links: https://data.london.gov.uk/download/london-average-air-quality-levels/576175f3-b515-4c77-a6a2-6e222a3e5340/air-quality-london-time-of-day.csv
name: 576175f3-b515-4c77-a6a2-6e222a3e5340
publisher: King'S College London
topic: Air-Pollution, Air-Quality, Aq, Daily, Emissions, Hourly, Index, Levels, Monitoring, Nitrogen-Dioxide, No, No2, Nox, O3, Particulate-Matter, Pm10, Pm25, Pollution, So2
format: Csv

Month (text),GMT,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Jan-08,15:00,,66.1,,27.8,27.2,14.3,5.0,,45.6,,37.6,17.8,.,3.6
Jan-08,16:00,,72.6,,23.7,28.0,15.5,5.3,,52.0,,31.9,18.8,.,3.7
Jan-08,17:00,,75.0,,22.1,29.3,16.9,5.5,,55.7,,29.2,20.5,.,3.7
Jan-08,18:00,,74.8,,22.2,30.2,17.9,5.6,,57.1,,28.9,21.8,.,3.9
Jan-08,19:00,,69.4,,23.6,30.0,17.2,5.4,,55.3,,30.3,22.9,.,3.9
Jan-08,20:00,,62.3,,25.8,28.5,16.7,4.9,,51.5,,32.5,22.6,.,4.4
Jan-08,21:00,,55.9,,28.3,26.1,15.5,4.7,,47.5,,34.4,21.4,.,4.4
Jan-08,22:00,,51.4,,30.5,24.4,15.0,4.0,,44.0,,36.5,20.0,.,4.3
Jan-08,23:00,,45.8,,33.8,23.1,14.2,3.5,,38.5,,40.0,19.2,.,3.8
Feb-08,00:00,,68.2,,20.3,34.6,27.4,5.6,,57.9,,25.2,30.1,.,5.5
Feb-08,01:00,,60.7,,21.1,32.2,27.6,4.6,,53.9,,26.6,28.6,.,5.2
Feb-08,02:00,,54.0,,24.0,30.5,26.1,4.1,,48.7,,27.0,27.7,.,5.1
Feb-08,03:00,,50.9,,24.5,29.4,25.1,4.0,,45.8,,27.4,26.9,.,5.0
Feb-08,04:00,,51.9,,23.4,28.8,24.2,4.3,,45.6,,27.1,26.2,.,4.9
Feb-08,05:00,,60.7,,19.6,29.8,25.2,4.8,,50.2,,24.6,26.3,.,5.1
Feb-08,06:00,,77.4,,15.0,33.6,28.6,6.3,,60.4,,20.2,28.1,.,5.4
Feb-08,07:00,,92.3,,12.1,37.8,30.7,7.8,,71.8,,16.7,30.1,.,6.6
Feb-08,08:00,,95.6,,12.6,42.2,31.7,8.7,,74.3,,17.1,33.9,.,7.7
Feb-08,09:00,,90.9,,15.8,45.7,32.0,9.5,,70.7,,21.3,35.7,.,8.1
Feb-08,10:00,,84.4,,20.0,49.2,31.4,10.4,,64.4,,27.1,36.8,.,9.0
Feb-08,11:00,,79.1,,23.6,49.6,29.9,10.2,,58.2,,31.9,36.9,.,8.9
Feb-08,12:00,,74.8,,25.8,47.6,30.0,10.4,,53.5,,35.7,35.4,.,9.0
Feb-08,13:00,,72.4,,27.4,46.3,28.9,10.4,,50.8,,38.3,33.9,.,8.9
Feb-08,14:00,,72.5,,26.7,44.6,28.1,10.6,,50.8,,37.7,32.7,.,8.8
Feb-08,15:00,,76.8,,24.8,44.7,27.9,10.9,,54.3,,34.9,33.1,.,8.8
Feb-08,16:00,,82.5,,21.7,43.1,28.1,10.0,,60.4,,29.8,32.5,.,8.1
Feb-08,17:00,,89.7,,17.2,42.0,29.2,8.7,,67.9,,23.9,33.0,.,6.6
Feb-08,18:00,,90.6,,16.8,41.0,30.3,7.6,,71.0,,22.2,33.1,.,5.9
Feb-08,19:00,,88.3,,16.7,41.1,31.3,7.2,,71.6,,22.3,33.9,.,5.9
Feb-08,20:00,,83.0,,18.2,40.6,29.8,6.7,,69.7,,23.2,33.6,.,5.9
Feb-08,21:00,,78.2,,19.0,38.6,29.2,6.3,,68.0,,24.0,33.1,.,5.8
Feb-08,22:00,,75.1,,20.3,38.0,29.8,6.3,,64.9,,24.7,32.4,.,5.7
Feb-08,23:00,,72.2,,21.0,36.7,28.1,5.9,,61.0,,25.0,31.4,.,5.6
Mar-08,00:00,,47.5,,37.5,17.5,11.0,3.3,,36.5,,47.2,14.1,.,1.8
Mar-08,01:00,,39.5,,42.9,16.1,10.0,2.2,,31.1,,51.5,13.5,.,1.8
Mar-08,02:00,,32.9,,48.4,14.4,9.2,2.0,,27.5,,53.8,12.4,.,1.7
Mar-08,03:00,,30.2,,49.2,13.9,9.2,2.0,,24.6,,55.1,11.9,.,1.7
Mar-08,04:00,,33.0,,46.9,14.0,9.7,2.1,,26.0,,53.4,11.7,.,1.8
Mar-08,05:00,,42.0,,41.0,15.5,10.8,2.4,,31.3,,48.9,12.4,.,1.8
Mar-08,06:00,,58.2,,33.0,18.6,12.4,3.6,,42.1,,41.6,12.9,.,1.9
Mar-08,07:00,,67.0,,30.9,22.6,14.1,4.7,,48.7,,39.5,15.1,.,2.5
Mar-08,08:00,,64.6,,34.4,24.8,13.7,5.0,,46.3,,43.6,16.4,.,2.8
Mar-08,09:00,,61.6,,38.8,26.4,13.4,4.9,,42.5,,49.9,17.0,.,2.8
Mar-08,10:00,,58.9,,42.5,26.1,12.0,4.9,,38.7,,55.4,16.5,.,2.7
Mar-08,11:00,,56.9,,44.5,26.3,12.1,4.7,,35.4,,58.6,17.0,.,2.8
Mar-08,12:00,,56.4,,45.8,25.6,12.0,4.6,,34.7,,60.6,16.8,.,2.6
Mar-08,13:00,,56.6,,46.8,24.8,12.3,4.6,,34.7,,61.4,16.6,.,2.3
Mar-08,14:00,,58.1,,46.9,24.3,12.0,4.6,,35.2,,61.8,15.9,.,2.3
Mar-08,15:00,,59.4,,46.3,24.3,13.5,4.4,,36.3,,61.1,16.2,.,2.4
Mar-08,16:00,,61.8,,43.9,23.7,13.8,4.3,,39.1,,58.0,15.9,.,2.4
Mar-08,17:00,,66.9,,39.9,24.0,13.1,4.5,,44.7,,51.9,16.9,.,2.2
Mar-08,18:00,,71.4,,34.9,22.7,13.6,4.5,,51.5,,44.8,15.9,.,2.3
Mar-08,19:00,,69.6,,33.4,22.9,13.6,4.3,,52.8,,42.0,16.8,.,2.4
Mar-08,20:00,,65.7,,33.3,23.2,14.1,4.1,,51.8,,41.5,17.5,.,2.5
Mar-08,21:00,,62.1,,33.2,23.0,13.6,3.8,,50.9,,40.5,18.0,.,2.5
Mar-08,22:00,,60.0,,33.2,22.4,14.1,3.8,,49.2,,40.4,17.6,.,2.6
Mar-08,23:00,,54.1,,35.1,20.6,12.1,3.6,,43.6,,42.8,16.4,.,2.3
Apr-08,00:00,,49.7,,36.2,24.6,18.7,2.6,,40.2,,44.9,20.9,.,2.3
Apr-08,01:00,,44.4,,38.3,23.4,18.9,2.0,,37.3,,45.2,20.5,.,2.3
Apr-08,02:00,,40.8,,38.3,23.3,18.5,1.9,,35.3,,44.4,20.4,.,2.0
Apr-08,03:00,,43.6,,32.8,24.4,20.5,2.3,,36.0,,40.1,21.2,.,2.1
Apr-08,04:00,,54.1,,26.0,26.1,22.0,3.1,,42.1,,34.3,21.9,.,2.4
Apr-08,05:00,,72.5,,19.0,31.0,27.0,4.7,,53.9,,28.2,24.3,.,2.9
Apr-08,06:00,,81.0,,19.8,35.0,28.4,6.0,,60.5,,28.5,26.8,.,3.7
Apr-08,07:00,,76.6,,26.1,37.3,27.1,5.8,,57.6,,35.0,27.6,.,4.1
Apr-08,08:00,,70.9,,31.7,37.8,25.3,6.0,,50.2,,43.6,27.7,.,4.3
Apr-08,09:00,,66.4,,37.9,36.1,23.3,6.2,,43.7,,52.3,26.4,.,4.2
Apr-08,10:00,,63.1,,43.0,33.9,21.1,5.8,,39.7,,58.4,24.6,.,3.9
Apr-08,11:00,,62.2,,45.7,31.9,20.0,5.2,,37.2,,63.0,23.2,.,3.5
Apr-08,12:00,,61.7,,48.0,30.5,19.4,5.0,,36.4,,66.2,21.0,.,3.3
Apr-08,13:00,,60.9,,48.5,30.4,18.5,5.1,,36.0,,67.9,20.5,.,3.5
Apr-08,14:00,,60.8,,49.7,29.8,18.8,5.2,,35.0,,69.3,20.4,.,3.4
Apr-08,15:00,,60.7,,50.0,28.1,17.9,5.1,,34.9,,68.8,19.6,.,3.4
Apr-08,16:00,,63.9,,48.6,26.2,17.6,5.2,,38.1,,66.4,18.2,.,3.5
Apr-08,17:00,,66.3,,46.3,26.8,18.1,5.4,,42.8,,62.1,19.1,.,3.7
Apr-08,18:00,,67.4,,42.4,26.7,18.1,5.4,,47.9,,55.4,19.1,.,3.6
Apr-08,19:00,,67.3,,37.8,25.7,18.5,4.6,,51.2,,49.3,18.7,.,3.2
Apr-08,20:00,,66.3,,35.7,25.4,18.2,3.8,,51.8,,46.3,19.0,.,3.3
Apr-08,21:00,,64.3,,35.2,25.4,18.2,3.9,,51.9,,44.6,19.7,.,3.4
Apr-08,22:00,,61.1,,35.5,25.1,18.4,3.8,,50.6,,44.2,20.0,.,3.2
Apr-08,23:00,,56.2,,36.6,25.1,18.4,3.3,,45.8,,45.0,20.5,.,2.5
May-08,00:00,,51.5,,44.4,32.3,28.9,2.7,,42.4,,53.9,29.3,17.6,3.0
May-08,01:00,,47.5,,43.3,31.5,28.9,2.1,,40.1,,51.8,28.8,16.8,2.8
May-08,02:00,,43.2,,40.3,30.0,27.6,1.8,,36.5,,49.4,27.9,17.7,2.4
May-08,03:00,,45.1,,35.3,29.9,27.1,2.1,,36.5,,44.8,27.5,16.8,2.5
May-08,04:00,,53.5,,28.2,31.2,28.3,2.7,,41.5,,38.1,27.5,16.4,2.7
May-08,05:00,,66.5,,23.0,34.5,31.0,3.8,,49.6,,32.6,29.3,17.6,3.4
May-08,06:00,,73.7,,23.7,39.0,33.2,4.9,,54.8,,33.0,33.0,18.4,4.2
May-08,07:00,,73.6,,27.5,41.5,33.3,6.0,,54.5,,38.1,34.9,20.1,5.3
May-08,08:00,,72.4,,33.2,41.4,31.3,6.9,,52.1,,45.8,34.7,22.4,6.0
May-08,09:00,,69.0,,39.5,39.5,28.4,6.8,,47.3,,55.5,32.8,15.8,6.3
May-08,10:00,,65.5,,47.2,37.2,23.9,6.5,,41.9,,65.0,30.8,15,5.6
May-08,11:00,,63.3,,54.5,35.4,21.5,5.9,,38.0,,74.0,28.7,13.7,5.0
May-08,12:00,,62.5,,60.7,33.3,21.3,6.1,,35.8,,80.2,27.1,12.9,5.0
May-08,13:00,,62.9,,63.7,34.5,21.6,6.0,,35.5,,83.9,27.0,12.7,5.1
May-08,14:00,,64.0,,64.9,34.0,22.6,5.6,,35.4,,85.8,26.9,13,4.7
May-08,15:00,,66.0,,66.3,32.6,23.7,5.6,,37.4,,86.2,26.9,14.1,5.2
May-08,16:00,,67.3,,66.0,32.2,25.1,5.5,,39.2,,85.1,26.5,15.6,4.9
May-08,17:00,,68.9,,61.4,32.8,25.8,5.4,,42.2,,81.0,27.1,16.3,4.9
May-08,18:00,,70.1,,57.1,33.2,26.9,5.3,,45.9,,75.1,28.1,16.8,4.5
May-08,19:00,,69.1,,51.2,34.4,28.2,4.8,,50.8,,66.5,29.7,17.3,4.3
May-08,20:00,,67.7,,46.0,35.5,29.5,4.1,,53.1,,58.8,31.2,17.5,3.9
May-08,21:00,,65.2,,45.0,35.6,30.5,3.8,,51.9,,56.6,31.4,17.5,3.7
May-08,22:00,,62.8,,44.4,34.9,30.9,3.6,,50.0,,56.2,30.9,18,3.5
May-08,23:00,,58.6,,43.7,34.5,30.5,3.1,,46.8,,54.9,31.1,19.1,3.2
Jun-08,00:00,,41.0,,31.9,22.4,17.5,2.3,,34.0,,38.6,19.5,14.4,1.9
Jun-08,01:00,,35.8,,32.5,20.9,17.4,1.8,,30.0,,37.2,18.7,13,2.0
Jun-08,02:00,,33.0,,33.3,19.9,16.7,1.4,,27.1,,36.7,18.1,13.7,1.7
Jun-08,03:00,,33.9,,30.8,19.5,16.0,1.4,,26.0,,35.7,17.2,12.8,1.7
Jun-08,04:00,,41.0,,26.1,20.2,16.0,2.0,,29.1,,32.8,16.8,12.4,1.8
Jun-08,05:00,,51.8,,24.1,22.5,16.5,3.1,,33.5,,32.5,17.3,12.6,2.2
Jun-08,06:00,,56.6,,27.2,24.1,16.8,3.8,,36.4,,36.0,18.1,12.9,2.6
Jun-08,07:00,,55.7,,30.9,25.1,16.2,4.1,,35.5,,41.3,18.7,13.3,2.9
Jun-08,08:00,,54.1,,34.4,24.7,16.1,4.3,,33.1,,46.5,18.4,13,3.1
Jun-08,09:00,,51.9,,39.5,23.7,15.0,4.3,,30.2,,52.8,18.0,11.4,3.0
Jun-08,10:00,,50.7,,43.6,24.0,14.6,4.3,,27.3,,58.8,17.5,11.2,2.6
Jun-08,11:00,,51.2,,47.0,24.4,14.5,4.2,,26.6,,63.3,17.6,11.1,2.6
Jun-08,12:00,,51.4,,49.5,24.8,15.4,4.4,,26.9,,66.9,18.3,11.2,2.9
Jun-08,13:00,,52.6,,51.2,25.3,15.6,4.5,,27.1,,69.2,18.4,12,2.7
Jun-08,14:00,,54.2,,52.4,25.8,16.4,4.7,,27.3,,71.2,18.8,11.8,2.8
Jun-08,15:00,,54.6,,53.5,25.8,16.4,4.6,,27.6,,71.1,19.0,12.1,2.8
Jun-08,16:00,,54.1,,53.7,24.5,16.0,4.7,,28.6,,69.9,18.9,12.5,3.1
Jun-08,17:00,,53.9,,52.5,23.6,15.5,4.8,,30.0,,67.9,18.5,12.6,3.0
Jun-08,18:00,,52.9,,49.6,23.3,15.3,4.8,,31.6,,63.9,18.3,12.3,2.9
Jun-08,19:00,,50.1,,46.8,23.1,15.4,4.2,,32.5,,59.3,18.5,13,2.8
Jun-08,20:00,,49.1,,42.1,22.0,14.8,3.5,,34.6,,52.6,17.6,13.1,2.8
Jun-08,21:00,,50.9,,36.8,22.6,15.7,3.4,,37.9,,45.9,18.3,13.7,2.9
Jun-08,22:00,,51.4,,33.9,22.8,17.2,3.0,,39.3,,41.7,19.0,13.7,2.2
Jun-08,23:00,,47.9,,32.8,21.8,17.0,2.6,,37.7,,40.0,18.7,13.1,2.0
Jul-08,00:00,,36.8,,28.1,19.6,13.5,1.9,,31.2,,37.1,16.5,12.3,1.9
Jul-08,01:00,,31.5,,29.4,18.6,12.5,1.5,,27.6,,36.8,16.0,11.4,1.7
Jul-08,02:00,,30.3,,30.1,18.0,12.8,1.2,,26.0,,34.5,15.6,11.5,1.5
Jul-08,03:00,,32.3,,26.0,18.0,13.1,1.2,,25.9,,31.8,15.3,12,1.6
Jul-08,04:00,,39.6,,21.4,19.8,14.6,1.6,,28.6,,28.2,15.7,12.1,1.7
Jul-08,05:00,,50.9,,18.0,23.0,17.4,2.4,,33.5,,26.0,16.8,12.6,1.9
Jul-08,06:00,,57.9,,18.4,25.7,18.1,3.2,,37.7,,26.8,18.3,13.5,2.5
Jul-08,07:00,,57.5,,21.6,27.4,17.5,3.5,,38.0,,31.5,20.1,13.4,3.2
Jul-08,08:00,,55.5,,26.4,26.9,14.9,3.7,,35.8,,37.6,19.5,12,3.5
Jul-08,09:00,,52.8,,32.2,26.2,13.5,3.9,,32.0,,45.0,19.1,11.3,3.5
Jul-08,10:00,,51.0,,37.7,25.0,13.8,3.7,,28.8,,52.5,18.1,11,3.5
Jul-08,11:00,,50.8,,41.6,25.5,13.4,3.9,,27.6,,58.0,17.7,11.8,3.1
Jul-08,12:00,,51.3,,44.3,25.2,13.3,3.9,,27.4,,61.2,17.5,10.4,2.9
Jul-08,13:00,,51.4,,46.6,25.7,13.7,4.0,,26.6,,64.4,18.0,11.2,2.9
Jul-08,14:00,,51.7,,48.7,24.5,14.5,4.2,,26.3,,66.7,17.3,10.9,2.6
Jul-08,15:00,,51.6,,50.2,24.2,13.7,4.1,,26.0,,67.7,17.4,11.1,2.6
Jul-08,16:00,,52.9,,49.8,23.6,13.5,4.3,,27.9,,66.5,16.9,10.9,2.7
Jul-08,17:00,,53.9,,48.7,22.9,13.3,4.2,,29.8,,64.0,16.6,11.3,3.0
Jul-08,18:00,,52.5,,46.7,21.8,13.1,3.8,,30.9,,60.1,15.6,10.8,2.9
Jul-08,19:00,,51.2,,43.6,21.5,13.2,3.5,,32.7,,54.9,15.8,11.7,2.4
Jul-08,20:00,,51.8,,37.6,21.9,14.1,3.1,,36.0,,47.7,16.7,12.3,2.2
Jul-08,21:00,,52.4,,32.7,22.6,15.2,2.7,,38.6,,42.6,17.5,13.3,2.1
Jul-08,22:00,,50.0,,30.4,22.1,14.9,2.5,,38.3,,39.5,17.4,13.8,1.9
Jul-08,23:00,,45.2,,29.5,21.3,14.3,2.3,,35.9,,37.9,17.5,12.9,2.0
Aug-08,00:00,,30.6,,26.6,18.8,10.8,1.1,,26.1,,33.4,16.2,11.5,1.7
Aug-08,01:00,,25.7,,27.9,17.6,10.1,1.0,,22.8,,33.5,15.6,10.9,1.6
Aug-08,02:00,,23.0,,29.8,16.8,10.1,0.9,,20.7,,32.3,14.8,10.2,1.4
Aug-08,03:00,,23.9,,27.4,16.5,9.5,1.0,,19.7,,30.9,14.5,9.8,1.5
Aug-08,04:00,,30.2,,22.9,17.2,10.3,1.3,,21.5,,28.1,14.1,9.9,1.6
Aug-08,05:00,,42.0,,18.5,19.6,12.4,2.0,,27.1,,24.5,14.4,10.6,1.9
Aug-08,06:00,,49.1,,18.4,22.2,12.9,2.6,,32.3,,23.5,15.9,11.3,2.0
Aug-08,07:00,,48.4,,20.9,23.6,12.9,2.8,,33.0,,26.1,16.7,11.5,2.4
Aug-08,08:00,,46.0,,24.9,23.4,12.5,2.8,,30.8,,31.0,16.8,12.1,2.6
Aug-08,09:00,,44.0,,29.1,22.1,12.1,2.7,,28.0,,36.7,15.7,11.7,2.6
Aug-08,10:00,,43.9,,32.0,22.3,11.0,2.7,,26.9,,40.6,15.0,11.4,2.6
Aug-08,11:00,,43.8,,33.7,22.4,11.0,2.6,,26.2,,43.1,15.0,10.4,2.7
Aug-08,12:00,,44.2,,35.5,21.9,11.1,2.6,,25.8,,45.5,14.9,10.7,2.5
Aug-08,13:00,,44.2,,36.6,22.0,11.0,2.5,,25.7,,47.8,15.0,10.6,2.3
Aug-08,14:00,,44.3,,38.9,21.2,10.7,2.6,,25.1,,50.4,13.8,10.3,2.2
Aug-08,15:00,,44.5,,41.0,21.2,11.3,2.6,,24.6,,52.5,14.4,10.8,2.1
Aug-08,16:00,,46.3,,41.7,21.3,11.5,2.7,,25.7,,52.1,15.2,11.1,2.2
Aug-08,17:00,,47.1,,39.8,21.6,11.9,2.7,,27.6,,49.1,15.6,11.8,2.3
Aug-08,18:00,,48.3,,36.1,21.7,12.4,2.5,,29.9,,43.9,15.9,12.5,2.2
Aug-08,19:00,,47.7,,31.5,21.2,12.5,2.3,,33.2,,37.9,15.9,12.5,2.0
Aug-08,20:00,,46.4,,27.8,20.6,12.1,2.1,,35.5,,33.4,16.4,12.9,2.0
Aug-08,21:00,,44.8,,26.5,21.3,12.2,2.0,,35.6,,31.4,17.0,11.8,2.1
Aug-08,22:00,,41.1,,25.8,20.1,11.8,1.8,,34.3,,31.0,16.6,11.5,2.0
Aug-08,23:00,,36.5,,27.3,19.7,10.9,1.5,,30.2,,31.7,16.6,10.9,1.8
Sep-08,00:00,,42.1,,19.1,24.5,17.9,1.8,,39.2,,23.7,21.9,15.6,2.0
Sep-08,01:00,,37.5,,20.4,23.3,17.2,1.5,,34.4,,24.6,20.8,15.8,1.8
Sep-08,02:00,,33.7,,21.2,22.7,16.6,1.3,,31.6,,24.0,20.3,15.1,1.6
Sep-08,03:00,,34.7,,19.4,22.4,16.9,1.5,,30.3,,23.0,19.9,15,1.5
Sep-08,04:00,,41.5,,15.1,23.8,17.6,1.9,,33.4,,19.3,20.3,14.8,1.8
Sep-08,05:00,,54.4,,10.9,27.2,20.3,3.2,,41.1,,14.8,21.8,15.4,2.2
Sep-08,06:00,,65.2,,10.0,32.0,22.4,4.2,,49.4,,12.8,24.0,16.3,2.9
Sep-08,07:00,,67.4,,11.5,36.8,23.7,4.7,,52.8,,14.5,27.5,18.3,3.8
Sep-08,08:00,,66.0,,14.8,37.1,23.6,5.1,,51.0,,19.0,27.9,19.5,4.2
Sep-08,09:00,,60.5,,19.6,32.7,22.0,5.0,,44.9,,26.1,25.8,18.1,4.2
Sep-08,10:00,,57.1,,24.6,33.0,19.1,5.3,,39.6,,32.6,24.2,16.7,4.5
Sep-08,11:00,,55.0,,28.6,31.2,17.5,5.8,,36.3,,38.9,23.0,16.3,4.7
Sep-08,12:00,,53.2,,31.8,30.5,16.8,5.2,,34.0,,43.4,22.7,14.4,4.2
Sep-08,13:00,,53.5,,33.9,29.8,15.3,5.1,,32.8,,45.9,21.7,13.2,3.7
Sep-08,14:00,,54.6,,34.8,28.0,14.8,4.6,,32.9,,47.3,20.6,12.7,3.6
Sep-08,15:00,,55.4,,35.6,26.8,15.3,4.6,,34.0,,48.0,19.6,12.5,3.6
Sep-08,16:00,,57.9,,34.2,26.2,15.1,4.4,,36.6,,45.7,19.7,12.7,3.5
Sep-08,17:00,,61.2,,30.0,26.8,15.2,4.7,,41.3,,39.6,19.8,12.5,3.4
Sep-08,18:00,,63.4,,25.0,27.3,15.9,4.3,,47.1,,31.4,20.7,14.1,3.2
Sep-08,19:00,,61.3,,21.6,28.1,17.1,3.8,,50.3,,27.3,21.7,15,2.9
Sep-08,20:00,,59.3,,19.5,28.0,17.8,3.4,,51.2,,24.3,22.8,15.9,2.8
Sep-08,21:00,,58.4,,18.4,27.1,17.9,3.2,,50.9,,22.3,22.5,16.2,2.7
Sep-08,22:00,,54.9,,18.0,26.5,17.8,3.0,,49.2,,21.7,22.5,16.1,2.4
Sep-08,23:00,,49.9,,18.8,25.6,17.6,2.6,,44.7,,22.9,22.2,15.6,2.2
Oct-08,00:00,,42.1,,19.4,19.3,12.2,2.7,,38.2,,24.2,16.0,11.4,2.3
Oct-08,01:00,,36.6,,20.7,17.4,10.3,2.6,,33.0,,25.3,15.0,10.1,1.9
Oct-08,02:00,,33.6,,22.6,16.5,9.7,2.1,,31.3,,26.0,14.0,9.8,1.7
Oct-08,03:00,,33.7,,21.6,15.1,9.4,2.1,,30.3,,25.2,12.6,9.4,1.8
Oct-08,04:00,,40.2,,17.7,15.4,10.4,2.7,,33.0,,22.1,12.1,8.5,2.0
Oct-08,05:00,,53.8,,13.3,18.9,12.7,4.1,,40.6,,17.3,13.2,9.5,2.5
Oct-08,06:00,,68.4,,10.2,23.1,14.3,5.4,,50.8,,13.3,15.3,10.4,3.1
Oct-08,07:00,,72.5,,10.4,27.6,15.4,6.1,,56.1,,13.7,18.1,11.3,3.8
Oct-08,08:00,,69.1,,14.0,28.7,15.5,5.9,,53.6,,18.1,19.7,13.6,4.0
Oct-08,09:00,,63.4,,18.4,27.3,14.5,5.4,,48.0,,24.6,19.3,12.6,3.8
Oct-08,10:00,,58.5,,22.3,27.1,13.1,5.3,,41.6,,31.3,17.9,12.2,3.7
Oct-08,11:00,,55.0,,25.9,26.2,12.0,4.9,,36.6,,37.1,16.9,10.7,3.4
Oct-08,12:00,,53.6,,28.1,24.4,11.5,4.8,,34.3,,40.2,16.2,9.7,3.3
Oct-08,13:00,,54.0,,28.1,25.0,11.2,4.6,,34.1,,40.7,16.1,11,3.0
Oct-08,14:00,,55.6,,27.9,23.8,11.3,4.4,,35.2,,40.1,14.9,10.4,2.8
Oct-08,15:00,,58.7,,27.1,23.5,11.7,4.5,,37.8,,37.8,15.2,9.6,2.5
Oct-08,16:00,,64.7,,22.9,22.6,12.5,4.8,,44.3,,31.8,14.7,11,2.6
Oct-08,17:00,,72.1,,17.8,24.5,13.7,4.8,,52.8,,23.6,16.4,12.6,2.8
Oct-08,18:00,,74.3,,14.4,25.2,15.0,5.0,,58.7,,18.9,17.6,14.2,3.0
